flightNumber;plane;dep_date;dep_time;dep_airport_name;dep_airport_code;dep_weather_min;dep_weather_max;dep_weather_desc;dep_door;arr_date;arr_time;arr_airport_name;arr_weather_min;arr_weather_max;arr_weather_desc;arr_belt;new_dep_status;new_arr_status;time_difference;time_difference_minutes;delayed
VLG2286; 32A;13/04/18;12:25;BARCELONA-EL PRAT;BCN;12;17;Lluvia;B48;13/04/18;14:10;JEREZ DE LA FRONTERA;5;15;Chubascos dispersos;3;Despego;Aterrizo;0 days 01:38:00;98;1
RYR8538; BOEING 737-800 WINGLETS;13/04/18;13:25;ALICANTE-ELCHE;ALC;11;18;Nubosidad variable;C49;13/04/18;15:10;SANTIAGO;10;15;Chubascos dispersos;3;Despego;Aterrizo;0 days 01:30:00;90;0
AAL8549; BOMBARDIER CRJ-1000;13/04/18;13:25;ALICANTE-ELCHE;ALC;11;18;Nubosidad variable;B34;13/04/18;14:35;MADRID-BARAJAS ADOLFO SUÁREZ;6;14;Chubascos dispersos;19;Despego;Aterrizo;0 days 01:03:00;63;1
VLG1200; AIRBUS A320;13/04/18;12:00;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;6;14;Chubascos dispersos;J50;13/04/18;13:20;BARCELONA-EL PRAT;12;17;Lluvia;15;Despego;Aterrizo;0 days 01:14:00;74;1
AEA9118; BOEING 737-800 WINGLETS;13/04/18;11:55;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;6;14;Chubascos dispersos;E76;13/04/18;13:50;TENERIFE NORTE;17;22;Nubosidad variable;4;Despego;Aterrizo;0 days 01:38:00;98;1
PVG5557; AIRBUS A320;13/04/18;12:15;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;6;14;Chubascos dispersos;C48;13/04/18;13:40;PALMA DE MALLORCA;12;17;Lluvia;11;Despego;Aterrizo;0 days 01:28:00;88;1
VLG3274; AIRBUS A320;13/04/18;11:30;BILBAO;BIO;7;17;Lluvia moderada;4;13/04/18;13:40;GRAN CANARIA;16;21;Nubosidad variable;16;Despego;Aterrizo;0 days 01:56:00;116;1
RYR2063; BOEING 737-800 WINGLETS;13/04/18;14:00;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;6;14;Chubascos dispersos;C42;13/04/18;15:35;PALMA DE MALLORCA;12;17;Lluvia;18;Despego;Aterrizo;0 days 01:20:00;80;0
IBE8319; ATR-72;13/04/18;13:35;SAN SEBASTIAN;EAS;9;15;Lluvia;2;13/04/18;14:55;MADRID-BARAJAS ADOLFO SUÁREZ;6;14;Chubascos dispersos;19;Despego;Aterrizo;0 days 01:11:00;71;1
IBE0555; AIRBUS A319;13/04/18;13:45;SANTANDER-SEVE BALLESTEROS;SDR;8;15;Lluvia;2;13/04/18;15:00;MADRID-BARAJAS ADOLFO SUÁREZ;6;14;Chubascos dispersos;13;Despego;Aterrizo;0 days 00:51:00;51;0
